ranking	app_name	publisher	ranking_type	ranking_change	has_in_app_purchases	report_date
100	Flashlight ☀	Surpax Technology Inc.	Free	▼11	0	2013-07-06
100	InstaCollage Pro - Pic Frame & Pic Caption for Instagram	click2mobile	Paid	▼6	0	2013-07-06
100	4 Pics 1 Song	Game Circus LLC	Grossing	▲3	1	2013-07-06
101	Escape the Titanic - Devious Escape Puzzler	FreshGames, LLC	Free	▼50	1	2013-07-06
101	cPRO+ craigslist client with Notifications for iPhone and iPod	Escargot Studios, LLC	Paid	▼4	1	2013-07-06
101	Plague Inc.	Ndemic Creations	Grossing	▼4	1	2013-07-06
102	Run with Map My Run - GPS Running, Jog, Walk, Workout Tracking and Calorie Counter	MapMyFitness	Free	▲3	1	2013-07-06
102	HotSchedules	HotSchedules	Paid	▲1	0	2013-07-06
102	Diamond Dash	wooga	Grossing	▲30	1	2013-07-06
103	Instaframe - Photo Collage + Picture Frame Editor for Instagram Free	Imagination Unlimited	Free	▲18	1	2013-07-06
103	RotoWire Fantasy Football Draft Kit 2013	Roto Sports, Inc.	Paid	▲10	0	2013-07-06
103	Teenage Mutant Ninja Turtles: Rooftop Run	Nickelodeon	Grossing	▼8	1	2013-07-06
104	Army Trucker Parking Simulator - Realistic 3D Military Truck Driver Free Racing Games	Play with Friends	Free	▲42	1	2013-07-06
104	360 Panorama	Occipital, Inc.	Paid	▼8	1	2013-07-06
104	Top Eleven	Nordeus	Grossing	▼4	1	2013-07-06
105	The Weather Channel®	The Weather Channel Interactive	Free	▲23	0	2013-07-06
105	Night Sky 2	iCandi Apps	Paid	▼19	1	2013-07-06
105	Qello - Concerts & Music Documentaries	Qello	Grossing	▲33	1	2013-07-06
106	GetItLive - rap/hip hop livemixtapes & radio	M-Work Solutions	Free	▲163	0	2013-07-06
106	Pocket God	Bolt Creative	Paid	▼5	1	2013-07-06
106	ForeFlight Mobile	ForeFlight	Grossing	▲1	1	2013-07-06
107	Starbucks	Starbucks Coffee Company	Free	▲7	0	2013-07-06
107	Photon Flash Player for iPhone - Flash Video & Games plus Private Web Browser	Appsverse Inc.	Paid	▲14	0	2013-07-06
107	Avengers Alliance	Marvel Entertainment	Grossing	▲5	1	2013-07-06
108	InstaSize - Post Entire Photos On Instagram Without Cropping	Munkee Apps L.L.C.	Free	▼5	1	2013-07-06
108	Knocked App	Appy Dude Pty Ltd	Paid	▲7	0	2013-07-06
108	Multiplayer for Minecraft PE	Innovative Devs	Grossing	▼6	0	2013-07-06
109	Rivals at War: 2084	Hothead Games Inc.	Free	▼31	1	2013-07-06
109	Call of Duty: Black Ops Zombies	Activision Publishing, Inc.	Paid	▲1	1	2013-07-06
109	Keeper® Password & Data Vault	Callpod Inc.	Grossing	▲5	1	2013-07-06
110	Pet Rescue Saga	King.com Limited	Free	=	1	2013-07-06
110	Zombie Highway	Auxbrain, Inc.	Paid	▲9	1	2013-07-06
110	Slots by Jackpotjoy	Gamesys	Grossing	▲44	1	2013-07-06
111	Audio-3D Player 7.1	Audio-3D.com	Free	▼20	0	2013-07-06
111	Knightmare Tower	Juicy Beast Studio	Paid	▲5	0	2013-07-06
111	Lumosity Mobile	Lumos Labs, Inc.	Grossing	▲12	1	2013-07-06
112	Rdio	Rdio	Free	▼5	1	2013-07-06
112	Split Pic Pro	Easy Tiger Apps, LLC.	Paid	▲35	0	2013-07-06
112	Angry Birds Star Wars	Rovio Entertainment Ltd	Grossing	▲8	1	2013-07-06
113	TuneIn Radio	TuneIn	Free	▼5	0	2013-07-06
113	PhotoToaster - Photo Editor, Filters and Effects for Instagram, Facebook and more	East Coast Pixels, Inc.	Paid	▼7	1	2013-07-06
113	Scramble With Friends Free	Zynga Inc.	Grossing	▲9	1	2013-07-06
114	My Muppets Show	Disney	Free	▼49	1	2013-07-06
114	Cut the Rope: Experiments	ZeptoLab UK Limited	Paid	▲9	1	2013-07-06
114	Hungry Shark Evolution	Future Games of London	Grossing	▲37	1	2013-07-06
115	Google Earth	Google, Inc.	Free	▼2	0	2013-07-06
